Title,Platform,Year,Global_Sales
Wii Sports,Wii,2006,82.74
Super Mario Bros,NES,1985,40.24
Mario Kart Wii,Wii,2008,37.38
Wii Sports Resort,Wii,2009,33.14
Pokemon Red/Pokemon Blue,GB,1996,31.38
Tetris,GB,1989,30.26
New Super Mario Bros,DS,2006,30.01
Wii Play,Wii,2006,29.02
New Super Mario Bros Wii,Wii,2009,28.62
Duck Hunt,NES,1984,28.31
Nintendogs,DS,2005,24.76
Mario Kart DS,DS,2005,23.42
Pokemon Gold/Pokemon Silver,GB,1999,23.1
Wii Fit,Wii,2007,22.72
Kinect Adventures,X360,2010,22.0